Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
2815 |              50.6 |             13.17 |              0.51 |              0.14 |               2.2 |               3.96 
2816 |            116.38 |             30.87 |              0.99 |              0.33 |              5.06 |               0.25 
2817 |            293.48 |             52.04 |              4.83 |              9.13 |             27.83 |                4.3 
2818 |            440.43 |            111.91 |              2.49 |              0.42 |             13.85 |               3.05 
2819 |             110.6 |             28.28 |              0.53 |              0.04 |               3.5 |               0.84 
2820 |             489.5 |            127.05 |              0.82 |              0.28 |                88 |                  0 
2821 |            360.25 |             92.78 |              1.24 |              0.28 |              2.75 |                6.6 
2822 |             550.8 |            142.22 |              2.65 |              0.75 |              13.6 |                6.8 
2823 |            414.54 |            110.29 |               3.6 |              0.57 |              2.94 |              11.76 
2824 |            208.98 |             56.67 |               0.8 |              0.28 |             74.82 |               7.48 
2825 |             313.3 |             81.43 |              4.41 |              0.66 |                13 |               9.49 
2826 |               346 |             88.28 |              3.89 |              1.81 |                 3 |                9.9 
2827 |             126.8 |                32 |                 1 |                 1 |               1.2 |                  3 
2828 |             123.2 |             33.12 |              0.07 |              0.44 |                 2 |               2.12 
2829 |            371.01 |             95.17 |              4.92 |              1.39 |              14.9 |               14.6 
2830 |              6.92 |              1.77 |               0.1 |              0.03 |              0.07 |               0.12 
2831 |              4.86 |              1.26 |              0.08 |              0.01 |              0.82 |                  0 
2832 |             382.4 |             98.13 |              5.78 |              1.22 |              11.2 |              13.12 
2833 |               377 |             96.49 |              5.67 |              1.19 |              11.6 |                  0 
2834 |             471.6 |            125.46 |              3.37 |              1.13 |              10.8 |               13.5 
2835 |            357.21 |             65.83 |              3.57 |             12.95 |              4.86 |               9.23 
2836 |            105.85 |             26.68 |              0.96 |              0.72 |               8.7 |              10.15 
2837 |             70.56 |             17.23 |              1.57 |              0.46 |              2.24 |                  0 
2838 |            148.23 |             36.96 |              1.73 |              1.02 |              7.29 |              15.55 
2839 |             369.9 |             95.39 |              3.43 |              0.97 |              10.8 |              10.26 
2840 |             47.36 |             12.28 |              0.48 |              0.19 |              0.64 |               1.86 
2841 |            277.13 |             71.41 |              3.68 |              1.04 |             10.36 |              10.88 
2842 |               276 |             17.99 |              5.13 |             23.14 |               4.6 |              12.88 
2843 |                69 |             17.25 |              1.27 |              0.23 |                 0 |               2.53 
2844 |              85.1 |             21.35 |              1.29 |              0.39 |                 0 |               4.44 
2845 |             170.4 |             40.01 |              1.01 |                 0 |               9.6 |               6.96 
2846 |              55.8 |              7.55 |              0.36 |              3.07 |              0.36 |               0.86 
2847 |            398.84 |              68.9 |               2.4 |             12.69 |             10.14 |               5.41 
2848 |              78.4 |             17.57 |              1.61 |              1.13 |               5.6 |               6.02 
2849 |             77.35 |             20.18 |              0.95 |              0.24 |              4.42 |               4.64 
2850 |            105.35 |             25.78 |              2.11 |              0.65 |                 0 |               5.38 
2851 |             95.22 |             24.51 |              1.05 |               0.3 |              1.38 |               3.17 
2852 |            143.26 |             36.38 |              1.73 |              0.52 |              9.88 |               3.71 
2853 |             68.67 |             16.59 |              0.22 |               0.2 |              1.09 |               2.29 
2854 |             117.6 |             31.23 |              0.97 |              0.32 |              1.68 |               6.05 
2855 |             62.13 |             14.91 |              0.27 |              0.13 |              1.09 |               2.51 
2856 |             97.72 |             21.58 |              3.99 |              0.11 |             83.44 |               3.64 
2857 |             62.13 |             14.82 |              0.31 |              0.16 |              2.18 |               2.62 
2858 |            496.65 |            132.03 |              5.41 |              0.33 |              39.6 |               5.45 
2859 |                66 |             15.27 |              1.32 |              0.87 |               1.5 |               6.45 
2860 |             63.22 |             14.83 |              0.48 |              0.21 |              1.09 |               3.05 
2861 |             151.8 |             37.37 |              0.94 |              0.33 |             12.65 |               0.51 
2862 |             151.8 |             37.37 |              0.94 |              0.33 |             12.65 |               0.51 
2863 |              73.6 |             18.58 |              1.45 |              0.23 |                 0 |               2.53 
2864 |               6.4 |              1.59 |              0.12 |              0.02 |                 0 |               0.29 
2865 |              93.6 |             18.58 |              1.22 |              1.63 |               4.8 |               0.72 
2866 |                34 |              7.93 |              0.58 |               0.1 |                 3 |                0.8 
2867 |             11.78 |              2.69 |              0.15 |              0.03 |              0.31 |                  0 
2868 |               115 |             27.82 |              1.45 |              0.23 |                 5 |               0.25 
2869 |             61.64 |             15.78 |              0.58 |              0.32 |              1.84 |               0.83 
