Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
1700 |             91.53 |              5.38 |             11.81 |              2.57 |            348.04 |                  0 
1701 |             157.5 |             18.43 |             12.26 |              3.85 |              49.5 |                1.5 
1702 |               146 |              7.88 |              19.9 |              3.84 |                68 |                  0 
1703 |            171.12 |              6.37 |             14.12 |              9.81 |            122.76 |                  0 
1704 |             20.25 |              0.64 |              0.44 |               1.8 |             13.35 |                  0 
1705 |            107.52 |              0.04 |              6.59 |                 9 |            169.96 |                  0 
1706 |             116.1 |              14.7 |             10.29 |              1.73 |             155.1 |                  0 
1707 |            100.54 |             14.71 |             10.08 |              0.06 |            647.52 |                  0 
1708 |            634.88 |             49.18 |             33.69 |             34.19 |            474.88 |                  0 
1709 |            153.72 |             11.57 |              8.13 |               8.3 |            139.08 |                  0 
1710 |            112.24 |             12.93 |               3.9 |              4.88 |             134.2 |                  0 
1711 |            236.68 |             12.64 |              9.15 |             16.81 |            126.88 |                  0 
1712 |            148.84 |             10.88 |              7.56 |              8.44 |              7.32 |                  0 
1713 |              33.8 |              6.01 |              0.87 |              0.77 |             31.52 |               0.09 
1714 |             31.81 |              5.04 |               1.1 |              0.86 |             26.98 |                  0 
1715 |             264.6 |             13.13 |             14.65 |             17.15 |             107.8 |                  0 
1716 |            492.36 |               0.9 |             32.31 |             39.97 |               792 |                  0 
1717 |            334.88 |              2.69 |             24.83 |              24.8 |            544.32 |                  0 
1718 |             389.4 |              7.37 |             31.35 |             26.11 |            879.12 |                  0 
1719 |             90.31 |               0.7 |              6.13 |                 7 |            201.64 |                  0 
1720 |             72.14 |              0.79 |              6.89 |              4.52 |             175.8 |                  0 
1721 |            159.33 |              3.96 |             35.82 |                 0 |            839.59 |               2.03 
1722 |            485.76 |              1.48 |              30.9 |             39.65 |            828.96 |                  0 
1723 |             71.85 |              1.02 |               2.6 |              6.47 |             94.86 |                  0 
1724 |              95.2 |             13.06 |              9.74 |              0.31 |             130.9 |                  0 
1725 |             23.94 |                 2 |                 4 |                 0 |            250.04 |                  0 
1726 |             190.4 |                40 |                 6 |                 0 |             229.5 |               2.04 
1727 |             104.4 |              9.66 |             14.99 |              0.42 |             539.4 |                  0 
1728 |               123 |             18.11 |             12.07 |              0.23 |              49.5 |                0.9 
1729 |               117 |             15.55 |             12.96 |              0.27 |                51 |               0.75 
1730 |             100.3 |              6.12 |             17.32 |              0.66 |              61.2 |                  0 
1731 |               126 |              18.8 |             12.04 |              0.33 |              49.5 |                0.6 
1732 |             191.1 |             41.75 |               7.2 |                 0 |            115.15 |                  0 
1733 |              18.5 |                 2 |                 2 |              0.25 |              57.5 |                  0 
1734 |             103.7 |              7.92 |               5.9 |              5.53 |              78.2 |                  0 
1735 |              71.5 |              0.35 |              6.25 |              4.74 |             148.5 |                  0 
1736 |            464.64 |              0.75 |             31.39 |             37.22 |            704.88 |                  0 
1737 |               525 |              2.42 |             30.98 |             43.68 |              1281 |               0.14 
1738 |             467.6 |              2.94 |             34.62 |             35.01 |              1918 |                  0 
1739 |            463.32 |              2.82 |             33.77 |             35.14 |            959.64 |                  0 
1740 |             365.8 |              2.99 |             24.05 |             28.69 |            830.72 |                  0 
1741 |            493.68 |              7.34 |             28.46 |             39.18 |            814.44 |                  0 
1742 |              18.3 |               0.2 |                 1 |               1.5 |                70 |                  0 
1743 |            364.78 |              3.64 |             22.07 |             29.06 |            916.22 |                  0 
1744 |              5.96 |                 1 |              0.12 |               0.2 |              2.88 |               0.02 
1745 |               186 |              9.01 |              9.35 |             12.62 |             136.4 |                  0 
1746 |            109.91 |              1.03 |              9.03 |              7.65 |            406.97 |                  0 
1747 |             104.8 |              0.57 |              6.12 |               8.7 |            513.76 |                  0 
1748 |             35.85 |                 0 |              0.04 |              4.06 |             32.15 |                  0 
1749 |             90.89 |              0.98 |              6.09 |               6.7 |             88.45 |                  0 
1750 |              77.9 |               0.4 |              4.61 |              6.43 |            122.36 |                  0 
1751 |             20.75 |              0.17 |              1.89 |              1.37 |              84.8 |                  0 
1752 |              83.3 |             12.15 |              8.26 |               0.2 |             102.9 |                  0 
1753 |             74.98 |                 0 |              5.26 |              5.99 |            130.36 |                  0 
1754 |            190.92 |             19.09 |              3.53 |             11.18 |             52.46 |                0.6 
1755 |             16.32 |              0.85 |              0.42 |              1.27 |              9.96 |                  0 
1756 |             66.42 |             12.64 |              2.09 |              0.89 |            132.84 |                  0 
1757 |            122.62 |             20.78 |              3.02 |              3.32 |             48.51 |                  0 
1758 |               106 |               1.5 |               7.5 |              7.78 |                54 |                  0 
1759 |             96.56 |              0.53 |              6.93 |              7.38 |            213.85 |                  0 
1760 |             35.85 |                 0 |              0.04 |              4.06 |              0.55 |                  0 
1761 |             59.04 |              12.6 |              1.87 |              0.22 |            118.08 |                  0 
1762 |             27.78 |                 0 |              0.02 |              2.98 |             22.15 |                  0 
1763 |             154.2 |              7.49 |              1.92 |             13.33 |               4.8 |                  0 
1764 |               168 |              17.7 |              2.25 |              9.82 |                54 |                  0 
1765 |            148.84 |             11.71 |              7.69 |              7.93 |            104.92 |                  0 
1766 |             190.4 |                40 |                 6 |                 0 |             229.5 |               2.04 
1767 |             161.5 |              32.3 |              7.48 |              0.34 |              98.6 |                  0 
1768 |             106.5 |             12.13 |             13.61 |              0.33 |                54 |               0.45 
1769 |             127.5 |             19.08 |             12.18 |              0.21 |                48 |               0.75 
1770 |               159 |              17.5 |             12.38 |              4.38 |                51 |                1.5 
1771 |              36.6 |              1.42 |              1.44 |              2.68 |            173.24 |                  0 
1772 |            2033.6 |            290.61 |             40.92 |             80.28 |            1115.2 |               4.92 
1773 |              97.6 |             11.69 |              8.08 |              2.15 |             463.6 |                  0 
1774 |              97.6 |             11.69 |              8.08 |              2.15 |             463.6 |                  0 
1775 |             36.36 |              0.28 |              2.06 |                 3 |             58.77 |                  0 
1776 |             34.56 |              0.15 |              2.17 |              2.81 |             54.18 |                  0 
1777 |            160.46 |             18.67 |             15.55 |              3.32 |               452 |               1.13 
1778 |                71 |              6.59 |             10.24 |              0.29 |               756 |                  0 
1779 |               504 |              1.06 |             32.93 |             40.39 |             604.8 |                  0 
1780 |             32.13 |              0.15 |              2.25 |              2.49 |             73.26 |                  0 
1781 |             32.85 |              0.49 |              1.81 |              2.63 |             81.27 |                  0 
1782 |            383.76 |             10.06 |             27.85 |             25.68 |            226.32 |                  0 
1783 |             193.8 |              6.06 |              8.87 |              14.9 |             313.5 |                0.1 
1784 |              63.6 |              0.88 |              2.68 |              5.66 |              81.9 |               0.23 
1785 |            268.71 |              8.71 |              18.6 |             17.71 |            629.64 |               0.16 
1786 |             19.22 |              3.06 |              1.07 |              0.31 |             20.15 |               0.03 
1787 |             300.3 |              6.68 |             22.03 |             20.58 |             720.3 |                  0 
1788 |             146.3 |              1.15 |             10.12 |             10.87 |             345.1 |                  0 
1789 |            427.63 |             12.29 |             18.85 |              33.6 |            728.61 |               0.89 
1790 |             208.5 |              7.74 |              10.7 |             14.72 |             528.2 |               0.14 
1791 |             47.52 |              0.26 |              2.76 |              3.82 |             103.2 |                  0 
1792 |            144.16 |              1.44 |              6.92 |             12.02 |            298.52 |                  0 
1793 |            116.96 |               2.3 |              6.81 |              8.66 |            310.08 |                  0 
1794 |            116.96 |              1.92 |              6.78 |              8.84 |            287.64 |                  0 
1795 |            174.76 |              0.69 |              6.98 |             15.74 |            257.72 |                  0 
1796 |             26.64 |              0.19 |              2.76 |              1.57 |            121.44 |                  0 
1797 |             78.96 |              0.85 |              5.12 |              5.99 |            188.47 |                  0 
1798 |             44.22 |              0.61 |              3.79 |              2.83 |            124.74 |                  0 
1799 |             52.54 |              0.27 |              4.61 |              3.49 |            158.73 |                  0 
1800 |             66.23 |              0.41 |              4.55 |              5.01 |            154.66 |                  0 
1801 |             72.45 |              0.27 |              4.64 |              5.74 |            168.35 |                  0 
1802 |              71.4 |              0.27 |              4.66 |              5.63 |             176.4 |                  0 
1803 |              58.1 |              0.33 |              4.93 |              3.92 |             170.1 |                  0 
1804 |              71.4 |              0.28 |              4.64 |              5.62 |             179.2 |                  0 
1805 |             75.25 |              0.27 |              4.64 |              6.03 |            159.95 |                  0 
1806 |             53.13 |              0.27 |              4.68 |              3.54 |            161.04 |                  0 
1807 |             72.38 |              0.52 |              5.87 |              4.95 |            193.64 |                  0 
1808 |            189.44 |             16.67 |             12.13 |              8.12 |            156.16 |                  0 
1809 |            112.32 |               5.8 |              9.84 |              5.48 |             830.7 |               1.99 
1810 |            300.96 |              2.19 |             22.52 |             21.56 |            696.96 |                  0 
1811 |            225.68 |              40.8 |              6.65 |              3.99 |            163.68 |                  0 
1812 |            139.24 |             10.29 |              8.11 |              7.65 |            529.82 |               2.01 
1813 |            164.02 |              21.7 |              2.55 |              7.96 |            182.31 |               0.65 
1814 |             66.01 |             10.14 |              0.93 |              2.55 |             18.45 |               0.94 
1815 |            375.06 |             43.58 |              5.24 |             20.16 |            198.17 |                1.6 
1816 |            222.32 |          20.73375 |             3.385 |           14.1525 |           72.4525 |              0.595 
1817 |             208.8 |             36.55 |               2.4 |              6.96 |                72 |               0.72 
1818 |            126.88 |             17.91 |              8.76 |              2.24 |             92.72 |                  0 
1819 |            131.04 |             23.43 |              3.56 |              2.73 |             60.06 |               0.47 
1820 |            115.44 |             20.44 |              4.02 |              2.29 |             65.52 |               0.16 
1821 |            132.86 |             22.35 |              3.88 |              3.77 |             52.56 |               1.09 
1822 |             78.08 |             11.27 |              7.56 |              0.15 |            126.88 |                  0 
1823 |              97.6 |             11.15 |              7.52 |              2.46 |            126.88 |                  0 
1824 |            185.44 |              14.3 |              9.78 |              9.96 |             146.4 |                  0 
1825 |            231.84 |              28.1 |              18.7 |              4.94 |            284.76 |                  0 
1826 |             166.4 |             22.14 |              8.01 |              5.02 |             179.2 |                  0 
1827 |            124.44 |             11.83 |              7.98 |              4.98 |             109.8 |                  0 
1828 |              46.5 |              6.31 |              1.15 |              2.06 |              24.8 |                0.5 
1829 |               150 |             20.36 |               3.7 |              6.66 |                80 |                1.6 
1830 |              33.6 |              3.82 |              0.95 |              1.73 |              15.4 |               0.14 
1831 |             27.16 |              3.59 |              1.11 |              0.93 |             15.12 |               0.08 
1832 |             35.56 |              3.94 |              1.03 |              1.76 |              19.6 |               0.08 
1833 |             78.08 |              9.64 |              2.73 |              3.05 |            141.52 |               0.49 
1834 |            222.72 |              3.89 |             14.41 |             16.61 |            107.52 |                  0 
1835 |             16.02 |              0.04 |              1.32 |              1.13 |             43.83 |                  0 
1836 |             32.04 |              0.26 |              2.03 |              2.54 |             63.45 |                  0 
1837 |            176.96 |             14.29 |               5.2 |             11.67 |             339.7 |               1.03 
1838 |            240.09 |               8.7 |             15.76 |             15.63 |             699.6 |               0.16 
1839 |             87.66 |              2.12 |               5.1 |              6.42 |            149.94 |               0.11 
1840 |            165.92 |              9.36 |              6.04 |             11.93 |            331.84 |               1.09 
1841 |            122.46 |             19.11 |              5.34 |              3.39 |            262.19 |                3.3 
1842 |             17.36 |              3.33 |              0.98 |              0.03 |             13.02 |                  0 
1843 |            156.24 |             26.73 |              7.86 |              2.28 |            109.12 |                  0 
1844 |             16.12 |              1.63 |              1.02 |              0.61 |             14.57 |                  0 
1845 |            153.76 |             28.52 |              3.52 |              2.95 |            133.92 |               0.74 
1846 |            176.08 |             26.29 |              7.69 |              4.64 |            114.08 |                  0 
1847 |            200.88 |             26.29 |              7.34 |              7.59 |            106.64 |                  0 
1848 |            388.68 |             41.03 |              5.54 |             24.19 |            380.48 |               5.74 
1849 |             108.8 |             13.52 |              0.53 |              5.95 |              35.7 |                  0 
1850 |               226 |             43.58 |             10.48 |               3.9 |               116 |                3.2 
1851 |             110.7 |             11.86 |              1.32 |              6.73 |             27.88 |               0.08 
1852 |             175.5 |             24.38 |               4.1 |              7.11 |             82.68 |               1.17 
1853 |            102.18 |             19.62 |              4.21 |              1.75 |              54.6 |               1.25 
1854 |             180.2 |             32.03 |              3.94 |              4.36 |             56.95 |               0.34 
1855 |             58.71 |              6.78 |              4.66 |              1.46 |             18.81 |               0.57 
1856 |             154.5 |             17.84 |             12.26 |              3.85 |              49.5 |                1.5 
1857 |               154 |             23.81 |              8.65 |              3.14 |                83 |                1.4 
1858 |             66.96 |             10.98 |              3.45 |              1.01 |             49.29 |               0.09 
1859 |             56.96 |              9.25 |              2.98 |              0.88 |              41.6 |               0.06 
1860 |             93.79 |             16.97 |              5.75 |              0.19 |             81.36 |               0.11 
1861 |            100.57 |             16.34 |              5.27 |              1.55 |             73.45 |               0.11 
1862 |             98.31 |             13.97 |               3.5 |              3.24 |             49.72 |               0.11 
1863 |            360.58 |             33.09 |              22.6 |             15.35 |            972.97 |               1.94 
1864 |            378.73 |             31.73 |             16.26 |             20.45 |           1124.09 |               1.45 
1865 |            419.49 |              38.5 |             21.93 |             18.87 |            840.75 |               1.95 
1866 |            330.15 |             43.89 |              9.07 |             13.12 |            964.41 |               1.02 
1867 |            323.96 |             27.76 |             15.58 |             16.24 |             828.1 |               1.46 
1868 |            424.32 |                50 |             32.12 |             10.31 |             787.2 |               1.54 
1869 |             252.7 |             24.84 |             15.87 |              9.75 |            537.32 |                0.8 
1870 |               396 |             40.34 |             15.75 |             19.71 |           1145.76 |               1.85 
1871 |             457.5 |             28.59 |                17 |             31.09 |              1266 |               0.75 
1872 |            424.06 |             29.79 |             19.36 |             25.63 |           1989.26 |               0.73 
1873 |            436.45 |             35.44 |             17.41 |             25.35 |            1183.2 |               0.29 
1874 |            475.15 |             44.93 |             13.04 |             27.18 |             972.4 |               0.88 
1875 |            554.04 |             62.77 |              19.2 |             26.41 |           1577.88 |               1.13 
1876 |            411.81 |             33.29 |             10.73 |             27.11 |            903.54 |               0.44 
1877 |             130.2 |             14.08 |              6.34 |              5.34 |             316.4 |               0.28 
1878 |             122.5 |             17.35 |              3.89 |              4.34 |             138.6 |               0.49 
1879 |            335.22 |             30.07 |             13.13 |             17.79 |               888 |               1.44 
1880 |            249.83 |             27.31 |              8.69 |             11.45 |            537.01 |               1.41 
1881 |            427.68 |             37.74 |             18.99 |              21.9 |            810.72 |                2.3 
1882 |             74.39 |              9.54 |              1.73 |              3.31 |            102.34 |               0.86 
1883 |             446.4 |             45.89 |              23.5 |             18.74 |             739.2 |               2.64 
1884 |            380.38 |             31.53 |             19.38 |              19.7 |            800.66 |               1.33 
1885 |            105.12 |              7.38 |              6.55 |              5.49 |            309.24 |               0.47 
1886 |            456.84 |             28.24 |             27.26 |             26.13 |            910.44 |                  0 
1887 |            942.48 |             51.39 |             52.14 |             58.57 |           1080.86 |               5.24 
1888 |           1061.34 |             53.94 |             57.74 |             68.07 |           1544.13 |               6.38 
1889 |             207.2 |             28.64 |              2.39 |              9.24 |            206.46 |               2.15 
1890 |             73.29 |              8.65 |              1.26 |              3.73 |             89.88 |               0.29 
1891 |            258.39 |             26.49 |              14.7 |             10.44 |            456.39 |               0.99 
1892 |             16.91 |              1.64 |              0.16 |              1.08 |             31.81 |               0.13 
1893 |            379.47 |             39.66 |              3.51 |             22.96 |            706.16 |               2.46 
1894 |            569.14 |             52.18 |             24.16 |             29.23 |           1269.62 |               4.78 
1895 |               572 |             58.72 |             22.64 |             27.39 |            1324.4 |               1.98 
1896 |             41.66 |              4.72 |              0.79 |              2.17 |              24.8 |                  0 
1897 |            678.03 |             53.98 |             31.25 |             37.36 |            910.83 |               5.24 
1898 |               790 |             52.77 |             35.36 |             48.44 |           1431.48 |               3.16 
1899 |             251.9 |             21.66 |              11.3 |             13.02 |             602.8 |               1.54 
1900 |            447.02 |             71.44 |             14.06 |              13.5 |            985.18 |                  0 
1901 |            460.31 |             47.04 |             27.76 |                18 |            1373.7 |               7.23 
1902 |            379.25 |             57.78 |              13.6 |             11.19 |           1041.55 |               7.77 
1903 |             433.8 |             56.32 |             16.94 |             16.39 |           1086.91 |               8.92 
1904 |            284.62 |             35.66 |             12.19 |             10.37 |            639.86 |               2.46 
1905 |            524.25 |             35.15 |             32.49 |             27.47 |           1100.25 |               1.57 
1906 |             280.6 |              25.5 |             22.16 |              9.65 |               368 |               3.56 
1907 |             564.2 |             43.81 |             31.47 |             29.07 |            875.42 |               3.09 
1908 |               114 |               5.2 |              10.7 |               5.6 |             288.5 |               0.45 
1909 |            465.63 |             39.06 |             30.44 |             20.93 |           1408.11 |               2.62 
1910 |             16.55 |              1.68 |              0.17 |              1.02 |             24.97 |               0.18 
1911 |            530.58 |             62.47 |             40.96 |             11.73 |            934.49 |               3.11 
1912 |            532.84 |             65.03 |             20.74 |             21.33 |           1496.45 |               2.25 
1913 |             324.3 |                28 |             18.53 |             15.23 |            623.22 |               1.83 
1914 |            320.96 |             29.04 |             23.85 |             11.94 |             802.4 |                1.5 
1915 |            249.76 |             26.42 |             19.94 |              6.98 |            521.92 |               1.46 
1916 |              81.3 |              5.17 |              5.77 |              4.18 |             230.7 |               0.36 
1917 |             57.96 |             12.71 |              1.13 |              0.11 |               1.4 |                0.2 
1918 |            292.23 |             28.44 |              1.81 |             18.93 |            387.73 |               3.63 
1919 |             267.8 |             25.83 |              18.6 |              9.46 |            1043.9 |               1.69 
1920 |             327.6 |             30.23 |             17.71 |             14.59 |             625.8 |               1.12 
1921 |             124.8 |             16.66 |              4.37 |              4.42 |             152.8 |               0.56 
1922 |             147.2 |             21.17 |              3.64 |              5.57 |             145.6 |               0.96 
1923 |             178.4 |             17.38 |              6.99 |              8.76 |             229.6 |               0.48 
1924 |             147.2 |             21.16 |              3.64 |              5.57 |             145.6 |               0.96 
1925 |            144.95 |             14.12 |              5.68 |              7.12 |            186.55 |               0.39 
1926 |            371.77 |             24.96 |             15.21 |             23.13 |             542.4 |               1.36 
1927 |               497 |             30.74 |             16.09 |             34.04 |             738.4 |                1.7 
1928 |            369.92 |              28.8 |             16.54 |             20.99 |            770.56 |               1.28 
1929 |            404.55 |             29.42 |              19.3 |             23.17 |           1102.05 |                1.4 
1930 |            526.68 |             27.19 |             20.67 |             37.24 |            986.67 |               3.08 
1931 |             698.7 |             57.78 |             45.36 |             30.63 |           1348.95 |               2.04 
1932 |             73.15 |             12.98 |                 2 |              1.39 |            108.15 |               0.63 
1933 |               378 |             30.37 |             12.64 |             22.82 |             890.4 |                0.7 
1934 |            508.36 |             55.62 |             19.37 |                23 |           1365.77 |               1.25 
1935 |             590.4 |              53.6 |             31.88 |             26.89 |            1303.8 |               1.48 
1936 |            402.78 |             26.17 |             21.05 |             23.62 |            886.41 |               2.06 
1937 |            568.98 |             42.44 |             28.03 |             31.35 |           1643.72 |               2.18 
1938 |            440.22 |             25.82 |             20.97 |             28.34 |           1813.08 |                0.7 
1939 |            401.08 |             25.72 |             20.23 |             23.69 |            985.68 |               0.89 
1940 |            589.86 |              40.5 |             33.92 |             31.48 |           1742.46 |               1.81 
1941 |            470.64 |             27.92 |             14.31 |             33.01 |            631.23 |               1.43 
1942 |            203.52 |                 2 |             13.29 |             15.53 |            179.52 |                  0 
1943 |            365.04 |              27.3 |             14.34 |             22.32 |            721.44 |               0.54 
1944 |             203.5 |             23.55 |              3.89 |             10.41 |            538.45 |               1.38 
1945 |            505.44 |              34.1 |             18.03 |             33.65 |           1088.64 |               0.32 
1946 |             565.4 |             58.72 |             22.64 |             27.39 |            1324.4 |                2.2 
1947 |                16 |              2.24 |              0.93 |              0.37 |              26.1 |               0.29 
1948 |            169.65 |             19.86 |               5.1 |              7.74 |             200.2 |               1.43 
1949 |              17.3 |              2.83 |              0.48 |              0.45 |              24.5 |                0.2 
1950 |             175.5 |             21.04 |              6.58 |              7.12 |             214.5 |               0.91 
1951 |             175.5 |             21.04 |              6.58 |              7.12 |             214.5 |               0.91 
1952 |              18.1 |                 3 |               0.7 |              0.36 |              26.6 |               0.13 
1953 |            154.05 |             22.13 |              6.92 |              4.04 |            212.55 |               0.91 
1954 |               221 |             26.79 |               3.9 |             11.53 |               260 |               0.91 
1955 |                40 |              5.59 |              2.31 |              0.92 |             65.25 |               0.72 
1956 |             70.75 |             10.48 |              1.76 |               2.4 |             123.5 |                0.5 
1957 |            127.35 |             18.86 |              3.18 |              4.32 |             222.3 |                0.9 
1958 |            121.05 |             13.63 |              5.14 |              5.07 |            142.65 |               1.22 
1959 |            174.85 |              19.7 |              7.43 |              7.32 |            206.05 |               1.75 
1960 |                18 |               2.8 |              0.82 |              0.39 |              25.4 |               0.26 
1961 |             153.4 |             20.72 |              7.81 |              4.26 |            203.45 |               1.82 
1962 |             282.7 |             46.01 |              5.51 |              9.01 |             304.7 |               0.55 
1963 |            224.64 |             26.41 |             10.56 |              8.18 |            347.52 |               1.44 
1964 |             429.3 |             42.19 |             11.35 |             23.98 |            994.95 |               1.35 
1965 |            144.78 |             10.78 |              9.63 |              6.93 |            428.64 |                0.8 
1966 |            271.56 |             27.73 |             15.15 |             10.59 |            659.68 |               1.74 
1967 |            311.61 |             28.21 |             16.17 |             14.44 |           1027.89 |               1.83 
1968 |            273.05 |              30.1 |             14.47 |             10.16 |            949.96 |               2.41 
1969 |            269.92 |             27.99 |             13.52 |             11.13 |            904.96 |               2.13 
1970 |               440 |             33.52 |              27.6 |                21 |               860 |                1.6 
1971 |            225.15 |             22.93 |             17.47 |              6.74 |            272.65 |               3.23 
1972 |            231.66 |             24.57 |             12.89 |              9.37 |            258.18 |               1.33 
1973 |             47.38 |              6.62 |              2.62 |              1.12 |             94.07 |               0.34 
1974 |            345.06 |             26.21 |             17.43 |             18.55 |           1195.56 |               1.94 
1975 |             65.12 |              8.85 |              1.36 |              2.92 |            178.86 |               0.64 
1976 |            175.42 |             21.34 |              3.67 |              8.35 |             524.3 |               0.98 
1977 |            161.28 |             17.53 |              1.02 |              9.68 |            211.68 |               2.24 
1978 |            128.78 |              6.42 |              9.52 |              7.25 |            445.56 |               0.66 
1979 |            568.16 |             17.96 |             45.03 |             35.09 |           1286.84 |                  0 
1980 |             22.46 |              1.36 |              1.13 |              1.39 |             72.96 |               0.06 
1981 |            431.68 |             31.61 |              19.1 |             26.65 |           1225.46 |               1.28 
1982 |             448.8 |             43.21 |             19.85 |             21.76 |           1110.45 |               1.32 
1983 |            766.65 |             47.08 |             27.33 |             52.11 |           1476.81 |               2.96 
1984 |            562.83 |             43.98 |             25.89 |             32.76 |            1007.4 |                3.5 
1985 |            312.97 |             33.09 |             15.43 |             14.03 |            744.94 |               1.31 
1986 |            193.28 |              9.66 |             10.11 |             12.68 |            362.24 |                  0 
1987 |             437.1 |             29.12 |             24.02 |             24.94 |            1035.4 |               1.24 
1988 |            287.28 |              27.3 |             17.19 |             12.17 |            777.42 |               1.39 
1989 |            377.88 |             35.36 |             15.09 |             19.62 |            581.56 |               1.88 
1990 |            229.33 |             30.23 |              2.42 |             10.98 |            134.19 |               2.77 
1991 |            156.45 |             30.87 |              4.07 |              1.94 |             86.42 |               1.49 
1992 |             250.8 |             28.77 |             12.27 |              9.59 |             469.3 |               1.24 
1993 |            143.63 |             15.14 |              1.31 |              8.64 |             307.4 |               1.48 
1994 |            342.16 |             60.72 |              6.52 |               8.9 |             145.6 |                  0 
1995 |            332.94 |             53.79 |              7.41 |             10.58 |            168.26 |               0.72 
1996 |            339.72 |             57.02 |              8.94 |               8.7 |            533.42 |               2.09 
1997 |            564.48 |              72.1 |                15 |                24 |            929.28 |               3.07 
1998 |            357.63 |             36.64 |             13.66 |             17.31 |            817.44 |                1.7 
1999 |            615.96 |             93.33 |             13.99 |             22.48 |            187.92 |                0.7 
2000 |            556.05 |              86.1 |             13.38 |             19.07 |            252.75 |               0.34 
2001 |            601.12 |            101.84 |              8.95 |             17.81 |            625.43 |               1.99 
2002 |            417.24 |             37.91 |             24.11 |             19.75 |            730.17 |               2.74 
2003 |            513.42 |              39.7 |             29.03 |              28.3 |           1152.21 |               2.79 
2004 |            365.75 |             30.88 |             15.27 |             20.08 |            807.31 |               1.73 
2005 |            273.06 |             22.67 |             16.94 |             12.68 |            709.71 |               1.11 
2006 |            439.92 |             31.82 |             11.26 |             29.72 |           1023.75 |                1.4 
2007 |            506.93 |             31.43 |             18.37 |             36.28 |           1082.32 |                1.3 
2008 |            301.93 |             25.04 |              12.1 |             17.04 |            810.96 |               1.31 
2009 |             421.2 |             42.19 |             11.35 |             23.98 |            994.95 |               1.35 
2010 |            382.95 |              28.2 |             14.56 |             24.22 |            796.95 |               1.61 
2011 |             452.1 |             28.51 |             20.77 |             29.42 |             943.8 |               1.49 
2012 |              17.4 |              3.74 |               0.9 |              0.17 |             10.44 |               1.39 
2013 |            401.28 |             40.34 |             15.75 |             19.71 |           1145.76 |               1.85 
2014 |            281.24 |                50 |              5.68 |              7.03 |             83.66 |                  0 
2015 |            249.83 |             27.31 |              8.69 |             11.45 |            537.01 |               1.41 
2016 |             267.5 |              32.7 |              8.83 |             11.11 |            805.71 |                1.5 
2017 |            472.35 |             40.46 |             34.69 |             18.09 |           1234.14 |               1.41 
2018 |            100.75 |             13.35 |              1.75 |              4.49 |             138.5 |               0.55 
2019 |             274.4 |             27.93 |              3.46 |              17.2 |             250.4 |               2.56 
2020 |            480.87 |             50.99 |              4.52 |             29.52 |            907.92 |               3.16 
2021 |              26.7 |              3.17 |               0.8 |              1.27 |              34.2 |               0.35 
2022 |              20.2 |               3.2 |              0.48 |              0.59 |              65.5 |               0.13 
2023 |              23.1 |              4.04 |              0.63 |              0.66 |              41.5 |               0.52 
2024 |              27.8 |              3.53 |              0.74 |              1.19 |              65.2 |               0.21 
2025 |              27.8 |              3.53 |              0.74 |              1.19 |              65.2 |               0.21 
2026 |              26.2 |              3.61 |              0.76 |              0.95 |              66.7 |               0.22 
2027 |              23.8 |              3.09 |              0.64 |              0.99 |              54.3 |               0.23 
2028 |              27.1 |              3.29 |              0.79 |              1.21 |              72.9 |               0.32 
2029 |              23.2 |              3.85 |              0.55 |              0.68 |              44.7 |               0.23 
2030 |              25.3 |              3.36 |               0.8 |              0.97 |              74.5 |               0.33 
2031 |              33.8 |              4.12 |              0.77 |              1.58 |              55.7 |               0.24 
2032 |              24.8 |              3.88 |              0.54 |               0.8 |              44.2 |               0.11 
2033 |                23 |              3.06 |              0.58 |              0.94 |              50.7 |               0.24 
2034 |              22.4 |              3.65 |               0.5 |              0.65 |              43.8 |               0.11 
2035 |             221.1 |             26.81 |             16.35 |               4.9 |            1172.5 |               1.74 
2036 |            313.02 |              35.5 |             13.03 |             13.22 |            760.35 |               2.55 
2037 |               280 |             29.93 |             11.73 |             12.56 |               624 |                1.7 
2038 |            309.12 |             36.79 |             12.15 |              12.6 |             649.6 |               2.35 
2039 |            147.49 |             19.13 |              5.25 |              5.54 |            231.77 |               1.03 
2040 |             240.6 |             24.57 |               3.6 |             14.23 |               447 |               2.28 
2041 |             193.2 |             16.94 |              1.18 |             13.42 |             261.6 |               2.04 
2042 |            315.52 |             33.25 |              24.7 |              8.51 |            599.76 |               1.77 
2043 |            324.82 |             35.99 |             23.78 |              8.63 |            974.46 |               1.96 
2044 |            221.52 |             29.42 |              2.44 |             10.46 |             149.1 |                2.7 
2045 |              3.28 |              0.39 |              0.04 |              0.18 |              2.94 |               0.03 
2046 |              3.92 |              0.37 |              0.04 |              0.26 |              2.82 |               0.03 
2047 |              4.48 |              0.46 |              0.05 |              0.28 |               5.9 |               0.04 
2048 |              4.48 |              0.46 |              0.05 |              0.28 |               5.9 |               0.04 
2049 |              3.28 |              0.39 |              0.04 |              0.18 |              2.94 |               0.03 
2050 |             20.72 |              2.38 |              0.27 |              1.13 |             29.12 |               0.21 
2051 |             19.69 |              1.96 |               0.5 |              1.13 |             21.45 |               0.17 
2052 |             19.28 |              2.53 |              0.34 |              0.86 |             23.44 |               0.29 
2053 |             347.2 |             45.17 |              4.19 |             18.37 |             638.4 |               5.12 
